sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s42264,28177,BJTVT,2017-08-24,115.69055,-31.55138,No recent fire,5,6.06,0.034,100,0.044,3.87,0.96,0.09,0.08,1e-10,1.44,5.1,3,28,93.94,1e-10,2.2,1,Woodland,30.000000000000004
s42266,33956,BJTVT,2017-08-24,115.73333,-31.66944,No recent fire,3,3.92,0.031,100,0.026,5.24,0.39,0.05,0.06,1,1.28,6,6,27,95.09,0.99,2.3,1,Woodland,20.999999999999996
s42268,29258,BJTVT,2017-08-24,115.77972,-31.79416,No recent fire,5,4.97,0.038,100,0.063,3.05,0.56,0.06,0.06,1,1.5,5.1,1e-10,24,94.02,1,2.7,1,Woodland,39.000000000000014
s42270,45703,BJTVT,2017-08-30,115.27361,-29.88361,No recent fire,1,2.91,0.01,100,0.043,0.27,0.08,0.02,0.02,1e-10,0.23,5.4,1e-10,1e-10,97.09,1e-10,0.8,1,Woodland,0
s42272,114232,BJTVT,2017-08-30,115.24777,-29.72472,No recent fire,3,2.91,0.015,100,0.06,1.07,0.19,0.04,0.04,1e-10,0.55,4.6,1e-10,25,96.1,0.99,1.7,1,Woodland,7.000000000000006
s42274,38178,BJTVT,2017-08-30,114.33555,-28.10027,No recent fire,8,4.93,0.045,100,0.067,2.85,0.9,0.11,0.27,1e-10,2.71,4.2,1e-10,37,95.07,1e-10,7.5,1,Woodland,20.999999999999996
s42276,143398,BJTVT,2017-08-30,115.41222,-30.6475,No recent fire,2,3.89,0.02,100,0.046,1.16,0.29,0.04,0.04,1e-10,0.75,4.7,3,17,96.11,1e-10,1.9,1,Woodland,6.000000000000005
s42278,84824,BJTVT,2017-08-30,115.46777,-30.67888,No recent fire,3,2.97,0.019,100,0.061,1.48,0.23,0.04,0.06,1e-10,0.95,4.9,1e-10,19,97.03,1e-10,2.2,1,Woodland,24
s42280,65914,BJTVT,2017-08-30,115.61666,-31.02861,No recent fire,1,2.87,0.015,100,0.026,1,0.19,0.02,0.04,1e-10,0.74,4.7,1e-10,1e-10,97.12,1e-10,1.3,1,Woodland,13.00000000000001
s42282,37784,BJTVT,2017-08-30,115.43944,-31.18916,No recent fire,6,4.95,0.031,50,0.108,2.15,0.46,0.05,0.07,2,1.28,4.7,3,28,95.05,1e-10,3.1,1,Woodland,35.00000000000001
s42284,31734,BJTVT,2017-09-06,115.82916,-31.965,No recent fire,3,3.89,0.016,100,0.109,2.72,0.5,0.04,0.05,2,1.24,4.2,3,15,96.11,1e-10,1.8,1,Woodland,46
s42286,59957,BJTVT,2017-09-06,115.77388,-31.94138,No recent fire,2,4.02,0.056,100,0.019,5.4,0.67,0.03,0.05,3,1.33,5.7,4,1e-10,94.97,1.02,2.6,1,Woodland,38.000000000000014
s42288,39432,BJTVT,2017-09-06,116.60777,-32.02,No recent fire,5,2.89,0.018,200,0.086,1.03,0.18,0.03,0.06,1e-10,0.9,3.9,2,1e-10,96.13,0.98,1.4,1,Woodland,30.000000000000004
s42290,134606,BJTVT,2017-09-06,116.78888,-32.21583,No recent fire,2,1.92,0.011,200,0.054,0.52,0.09,0.02,0.02,1e-10,0.36,4.7,2,1e-10,98.08,1e-10,1.3,1,Woodland,7.000000000000006
s42292,63778,BJTVT,2017-08-23,115.77916,-32.54222,No recent fire,5,3.04,0.037,50,0.041,4.23,0.89,0.07,0.13,1e-10,1.89,4.6,3,34,96.96,1e-10,2.9,1,Woodland,36.00000000000001
s42344,79352,BJTVT,2017-05-06,130.9466065,-16.07466898,,NA,49,0.0345,100,NA,NA,NA,NA,NA,NA,0.41,NA,31,NA,40,11,NA,NA,,18.999999999999993
s42345,120814,BJTVT,2017-05-06,130.9466306,-16.07467074,,NA,49,0.026,100,NA,NA,NA,NA,NA,NA,0.4,NA,43,NA,40,11,NA,NA,,18.999999999999993
s42346,188703,BJTVT,2017-05-06,130.944659,-16.07527466,,NA,49,0.0286,100,NA,NA,NA,NA,NA,NA,0.51,NA,53,NA,40,11,NA,NA,,19.999999999999996
s42347,71816,BJTVT,2017-05-06,130.9905068,-16.07667837,,NA,49,0.0274,100,NA,NA,NA,NA,NA,NA,0.35,NA,28,NA,40,11,NA,NA,,5.000000000000004
s42348,52519,BJTVT,2017-05-06,130.9902414,-16.07662205,,NA,49,0.0296,100,NA,NA,NA,NA,NA,NA,0.77,NA,25,NA,40,11,NA,NA,,5.000000000000004
s42349,54225,BJTVT,2017-05-06,130.9887221,-16.07583339,,NA,49,0.0375,100,NA,NA,NA,NA,NA,NA,0.77,NA,42,NA,40,11,NA,NA,,5.000000000000004
s42350,51963,BJTVT,2017-05-06,130.9887955,-16.07358771,,NA,49,0.02701,100,NA,NA,NA,NA,NA,NA,1.37,NA,77,NA,40,11,NA,NA,,6.000000000000005
s42351,52530,BJTVT,2017-05-06,130.9903958,-16.07370171,,NA,49,0.0533,100,NA,NA,NA,NA,NA,NA,1.02,NA,57,NA,40,11,NA,NA,,6.000000000000005
s42352,44606,BJTVT,2017-05-06,130.9907178,-16.07370582,,NA,49,0.0224,100,NA,NA,NA,NA,NA,NA,0.83,NA,42,NA,40,11,NA,NA,,6.000000000000005
s42353,94535,BJTVT,2017-06-06,130.9916069,-16.07668567,,NA,36,0.0688,100,NA,NA,NA,NA,NA,NA,1.77,NA,110,NA,53,11,NA,NA,,5.000000000000004
s42354,79522,BJTVT,2017-06-06,130.9918845,-16.07672338,,NA,36,0.0459,100,NA,NA,NA,NA,NA,NA,1.42,NA,128,NA,53,11,NA,NA,,5.000000000000004
s42355,107688,BJTVT,2017-06-06,130.9876946,-16.07645567,,NA,36,0.02188,100,NA,NA,NA,NA,NA,NA,0.88,NA,96,NA,53,11,NA,NA,,11.00000000000001
s42356,37225,BJTVT,2017-06-06,130.9586708,-16.06600955,,NA,36,0.089,100,NA,NA,NA,NA,NA,NA,1.26,NA,107,NA,53,11,NA,NA,,19.999999999999996
s42357,55882,BJTVT,2017-06-06,130.9498205,-16.07265581,,NA,36,0.0679,100,NA,NA,NA,NA,NA,NA,1.15,NA,76,NA,53,11,NA,NA,,19.999999999999996
s42358,53532,BJTVT,2017-06-06,130.9495421,-16.07163834,,NA,36,0.0235,100,NA,NA,NA,NA,NA,NA,0.59,NA,87,NA,53,11,NA,NA,,19.999999999999996
s42359,70904,BJTVT,2017-06-06,130.9497197,-16.07309327,,NA,36,0.0373,100,NA,NA,NA,NA,NA,NA,1.32,NA,105,NA,53,11,NA,NA,,19.999999999999996
s42360,62502,BJTVT,2017-06-06,130.9499789,-16.07146516,,NA,36,0.0624,100,NA,NA,NA,NA,NA,NA,2.09,NA,112,NA,53,11,NA,NA,,19.999999999999996
s42361,58051,BJTVT,2017-06-06,130.9465529,-16.07536241,,NA,36,0.0424,100,NA,NA,NA,NA,NA,NA,0.78,NA,99,NA,53,11,NA,NA,,18.999999999999993
s42362,170571,BJTVT,2017-05-06,130.9503034,-16.11260271,,NA,49,0.0431,100,NA,NA,NA,NA,NA,NA,0.84,NA,93,NA,40,11,NA,NA,,2.0000000000000018
s42363,119627,BJTVT,2017-05-06,130.9502955,-16.11237195,,NA,49,0.0417,100,NA,NA,NA,NA,NA,NA,0.68,NA,80,NA,40,11,NA,NA,,2.0000000000000018
s42364,92998,BJTVT,2017-05-06,130.9502888,-16.11214648,,NA,49,0.047,100,NA,NA,NA,NA,NA,NA,0.68,NA,61,NA,40,11,NA,NA,,2.0000000000000018
s42365,169496,BJTVT,2017-05-06,130.9503679,-16.11362605,,NA,49,0.0362,100,NA,NA,NA,NA,NA,NA,0.58,NA,73,NA,40,11,NA,NA,,2.0000000000000018
s42366,188495,BJTVT,2017-05-06,130.9503499,-16.11361616,,NA,49,0.0414,100,NA,NA,NA,NA,NA,NA,0.51,NA,67,NA,40,11,NA,NA,,2.0000000000000018
s42367,185497,BJTVT,2017-05-06,130.9503391,-16.11334819,,NA,49,0.0567,100,NA,NA,NA,NA,NA,NA,0.8,NA,65,NA,40,11,NA,NA,,2.0000000000000018
s42368,157615,BJTVT,2017-06-06,130.9570717,-16.06565676,,NA,36,0.0344,100,NA,NA,NA,NA,NA,NA,1.48,NA,94,NA,53,11,NA,NA,,19.999999999999996
s42369,160217,BJTVT,2017-06-06,130.95730030000001,-16.06564444,,NA,36,0.0255,100,NA,NA,NA,NA,NA,NA,1.26,NA,116,NA,53,11,NA,NA,,19.999999999999996
s42370,126243,BJTVT,2017-06-06,130.9575314,-16.06566807,,NA,36,0.02685,100,NA,NA,NA,NA,NA,NA,1.33,NA,81,NA,53,11,NA,NA,,19.999999999999996
s42371,65424,BJTVT,2017-06-06,130.9587436,-16.06627316,,NA,36,0.01975,100,NA,NA,NA,NA,NA,NA,1.64,NA,85,NA,53,11,NA,NA,,19.999999999999996
s42372,74779,BJTVT,2017-06-06,130.9587423,-16.06626336,,NA,36,0.0261,100,NA,NA,NA,NA,NA,NA,1.02,NA,98,NA,53,11,NA,NA,,19.999999999999996
s42373,69015,BJTVT,2017-06-06,130.9588381,-16.06605657,,NA,36,0.02038,100,NA,NA,NA,NA,NA,NA,1.09,NA,94,NA,53,11,NA,NA,,19.999999999999996
s42374,80641,BJTVT,2017-05-06,130.9503034,-16.11260271,,NA,49,0.0763,100,NA,NA,NA,NA,NA,NA,1.28,NA,85,NA,40,11,NA,NA,,2.0000000000000018
s42375,73033,BJTVT,2017-05-06,130.9502955,-16.11237195,,NA,49,0.1106,100,NA,NA,NA,NA,NA,NA,1.51,NA,113,NA,40,11,NA,NA,,2.0000000000000018
s42376,74189,BJTVT,2017-05-06,130.9502888,-16.11214648,,NA,49,0.0879,100,NA,NA,NA,NA,NA,NA,1.36,NA,116,NA,40,11,NA,NA,,2.0000000000000018
s42377,166094,BJTVT,2017-05-06,130.9503679,-16.11362605,,NA,49,0.0467,100,NA,NA,NA,NA,NA,NA,0.92,NA,76,NA,40,11,NA,NA,,2.0000000000000018
s42378,147150,BJTVT,2017-05-06,130.9503499,-16.11361616,,NA,49,0.0653,100,NA,NA,NA,NA,NA,NA,0.81,NA,67,NA,40,11,NA,NA,,2.0000000000000018
s42379,126053,BJTVT,2017-05-06,130.9503391,-16.11334819,,NA,49,0.0738,100,NA,NA,NA,NA,NA,NA,1.05,NA,95,NA,40,11,NA,NA,,2.0000000000000018
s42380,45144,BJTVT,2017-06-06,130.9570717,-16.06565676,,NA,36,0.0627,100,NA,NA,NA,NA,NA,NA,1.72,NA,113,NA,53,11,NA,NA,,19.999999999999996
s42381,72135,BJTVT,2017-06-06,130.95730030000001,-16.06564444,,NA,36,0.0917,100,NA,NA,NA,NA,NA,NA,1.39,NA,97,NA,53,11,NA,NA,,19.999999999999996
s42382,55513,BJTVT,2017-06-06,130.9575314,-16.06566807,,NA,36,0.0456,100,NA,NA,NA,NA,NA,NA,1.93,NA,115,NA,53,11,NA,NA,,19.999999999999996
s42383,56233,BJTVT,2017-06-06,130.9587436,-16.06627316,,NA,36,0.0372,100,NA,NA,NA,NA,NA,NA,1.12,NA,98,NA,53,11,NA,NA,,19.999999999999996
s42384,50113,BJTVT,2017-06-06,130.9587423,-16.06626336,,NA,36,0.0339,100,NA,NA,NA,NA,NA,NA,1.43,NA,95,NA,53,11,NA,NA,,19.999999999999996
s42385,63009,BJTVT,2017-06-06,130.9588381,-16.06605657,,NA,36,0.0312,100,NA,NA,NA,NA,NA,NA,1.22,NA,105,NA,53,11,NA,NA,,19.999999999999996
s42386,136256,BY8DT,2008-04-02,114.8976,-22.7017,,NA,5.08,10.595,68.7,NA,NA,NA,NA,NA,NA,1.7387,6.2625,NA,NA,78.52,16.4,NA,NA,,6.000000000000005
s42387,55701,BY8DT,2008-06-07,120.9245,-20.7195,,NA,2.81,3.65,160.4,NA,NA,NA,NA,NA,NA,1.204,6.0125,NA,NA,89.32,7.87,NA,NA,,14.000000000000012
s42388,93296,BY8DT,2008-05-10,118.4823,-24.1443,,NA,2.15,30.5,397,NA,NA,NA,NA,NA,NA,3.1851,8.23,NA,NA,92.27,5.57,NA,NA,,6.000000000000005
s42389,7047,BY8DT,2008-04-02,147.4098,-37.9818,,NA,10.1,714.5,22,NA,NA,NA,NA,NA,NA,3.8466,4.2,NA,NA,60.5,29.41,NA,NA,,16.999999999999993
s42390,114150,BY8DT,2007-09-18,139.96,-19.2409,,NA,13.49,18.96,0,NA,NA,NA,NA,NA,NA,2.9064,6.025,NA,NA,56.33,30.17,NA,NA,,3.0000000000000027
s42391,46651,BY8DT,2007-10-16,145.8212,-21.444,,NA,1.72,9.6,294,NA,NA,NA,NA,NA,NA,1.0956,5.95,NA,NA,95.02,3.26,NA,NA,,26
s42392,124548,BY8DT,2008-05-24,134.0173,-17.0445,,NA,45.32,13.275,212,NA,NA,NA,NA,NA,NA,6.8953,5.53,NA,NA,27.57,27.11,NA,NA,,15.999999999999993
s42393,5577,BY8DT,2009-09-06,133.2902,-29.0518,,NA,3.18,17.16666667,168,NA,NA,NA,NA,NA,NA,0.799,8.055,NA,NA,90.34,6.49,NA,NA,,2.0000000000000018
s42394,5367,BY8DT,2008-05-10,137.6081,-24.9854,,NA,2.67,7.36,72,NA,NA,NA,NA,NA,NA,2.6207,6.005,NA,NA,88.09,9.24,NA,NA,,0
s42395,96471,BY8DT,2008-05-16,135.5159,-21.8341,,NA,8.93,28.05,362,NA,NA,NA,NA,NA,NA,2.8436,6.815,NA,NA,74.11,16.96,NA,NA,,4.0000000000000036
s42396,139281,BY8DT,2008-05-28,142.0551,-24.4484,,NA,30.99,16.48,152,NA,NA,NA,NA,NA,NA,8.8756,6.11,NA,NA,17.64,51.36,NA,NA,,10.000000000000009
s42397,87908,BY8DT,2008-04-04,125.3904,-28.3466,,NA,4.74,6,318.4,NA,NA,NA,NA,NA,NA,1.9317,4.715,NA,NA,82.42,12.84,NA,NA,,2.0000000000000018
s42398,96891,BY8DT,2008-03-06,119.0561,-28.6164,,NA,11.19,62.3,415.4,NA,NA,NA,NA,NA,NA,7.9902,8.42,NA,NA,50.09,38.73,NA,NA,,12.00000000000001
s42399,50904,BY8DT,2007-10-09,136.0504,-19.641,,NA,11.29,58.65,225,NA,NA,NA,NA,NA,NA,6.3997,8.03,NA,NA,67.62,21.08,NA,NA,,14.000000000000012
s42400,14110,BY8DT,2008-05-31,145.2032,-24.3121,,NA,18.7,47.85,301,NA,NA,NA,NA,NA,NA,6.6781,7.425,NA,NA,36.33,44.97,NA,NA,,10.000000000000009
s42401,41326,BY8DT,2007-10-10,143.7996,-17.4075,,NA,2.98,6.11,215,NA,NA,NA,NA,NA,NA,7.0228,5.83,NA,NA,86.36,10.66,NA,NA,,20.999999999999996
s42402,160675,BY8DT,2008-06-12,121.9302,-18.7158,,NA,1.95,5.57,25.8,NA,NA,NA,NA,NA,NA,0.0025,5.44,NA,NA,92.58,5.47,NA,NA,,5.000000000000004
s42403,74851,BY8DT,2008-04-04,145.157,-32.6919,,NA,20.28,50.7,133,NA,NA,NA,NA,NA,NA,8.0805,6.71,NA,NA,35.38,44.34,NA,NA,,15.999999999999993
s42404,2822,BY8DT,2008-10-24,140.6795,-27.0475,,NA,0.94,7.67,41.3,NA,NA,NA,NA,NA,NA,0.3229,7.615,NA,NA,96.05,3.01,NA,NA,,0
s42405,140116,BY8DT,2008-01-23,144.625,-34.2069,,NA,30.52,470.5,88,NA,NA,NA,NA,NA,NA,9.7227,6.66,NA,NA,26.77,42.71,NA,NA,,0
s42406,171025,BY8DT,2007-11-17,116.3855,-28.8937,,NA,2.89,18.21,273,NA,NA,NA,NA,NA,NA,2.6421,7.135,NA,NA,91.28,5.83,NA,NA,,0
s42407,9635,BY8DT,2008-10-25,139.3861,-26.3032,,NA,12.9,57.4,25.2,NA,NA,NA,NA,NA,NA,5.5143,7,NA,NA,54.1,33,NA,NA,,1.0000000000000009
s42408,46286,BY8DT,2008-04-10,131.2421,-16.7679,,NA,18.95,53.1,110,NA,NA,NA,NA,NA,NA,11.5661,7.7,NA,NA,32.32,48.73,NA,NA,,24
s42409,140239,BY8DT,2008-11-24,135.5543,-34.2188,,NA,4.61,248,36.1,NA,NA,NA,NA,NA,NA,3.5818,7.39,NA,NA,85.26,10.13,NA,NA,,2.0000000000000018
s42410,116646,BY8DT,2007-09-27,141.4926,-20.6988,,NA,18.91,16.8,122,NA,NA,NA,NA,NA,NA,7.3166,7.72,NA,NA,34.76,46.33,NA,NA,,0
s42411,49963,BY8DT,2007-10-06,144.9867,-18.9003,,NA,6.22,30.4,415,NA,NA,NA,NA,NA,NA,1.0915,6.8,NA,NA,72.22,21.55,NA,NA,,25
s42412,131089,BY8DT,2008-07-02,140.611,-32.8544,,NA,9.54,24.3,125.9,NA,NA,NA,NA,NA,NA,2.243,6.43,NA,NA,62.47,28,NA,NA,,15.000000000000014
s42413,112289,BY8DT,2008-01-28,128.3122,-30.8345,,NA,32.57,2735,147.5,NA,NA,NA,NA,NA,NA,13.811,7.645,NA,NA,35.81,31.62,NA,NA,,0
s42414,157124,BY8DT,2007-10-13,148.1492,-23.4285,,NA,19.96,92.7,182,NA,NA,NA,NA,NA,NA,17.6507,7.11,NA,NA,34,46.04,NA,NA,,15.999999999999993
s42415,28317,BY8DT,2008-02-29,123.0358,-25.5157,,NA,1.76,4.285,436.8,NA,NA,NA,NA,NA,NA,0.0251,4.8425,NA,NA,94.58,3.67,NA,NA,,9.000000000000007
s42416,166422,BY8DT,2008-04-16,132.6341,-24.5395,,NA,9.94,62.7,475,NA,NA,NA,NA,NA,NA,3.131,8.01,NA,NA,63.61,26.45,NA,NA,,5.000000000000004
s42417,46127,BY8DT,2007-10-27,148.7617,-28.9256,,NA,16.66,1218,162,NA,NA,NA,NA,NA,NA,7.7988,4.33,NA,NA,31.5,51.84,NA,NA,,16.999999999999993
s42418,142614,BY8DT,2009-05-23,137.9044,-29.2414,,NA,10.09,88.5,5.5,NA,NA,NA,NA,NA,NA,2.9037,9.02,NA,NA,64.88,25.03,NA,NA,,1.0000000000000009
s42419,73400,BY8DT,2008-01-23,123.9836,-32.6457,,NA,30.27,1696,143,NA,NA,NA,NA,NA,NA,25.2613,8.44,NA,NA,38.14,31.58,NA,NA,,20.999999999999996
s42420,49460,BY8DT,2008-05-20,147.9273,-26.4752,,NA,30.16,414,329,NA,NA,NA,NA,NA,NA,14.9687,6.42,NA,NA,12.07,57.76,NA,NA,,15.000000000000014
s42421,177879,BY8DT,2008-05-19,137.6352,-20.8132,,NA,13.46,13.68,198,NA,NA,NA,NA,NA,NA,2.8453,6.095,NA,NA,63.86,22.68,NA,NA,,0
s42422,47749,BY8DT,2008-04-15,147.2197,-30.2678,,NA,14.16,34.7,131,NA,NA,NA,NA,NA,NA,4.812,5.885,NA,NA,60.44,25.4,NA,NA,,9.000000000000007
s42423,69088,BY8DT,2008-04-04,145.1566,-32.6919,,NA,9.73,56.5,118,NA,NA,NA,NA,NA,NA,8.5017,6.72,NA,NA,42.14,48.13,NA,NA,,15.999999999999993
s42424,31462,BY8DT,2007-12-11,117.7419,-33.4026,,NA,2.09,163.2,256,NA,NA,NA,NA,NA,NA,3.4131,7.365,NA,NA,90.79,7.12,NA,NA,,1.0000000000000009
s42425,40903,BY8DT,2007-10-24,151.2464,-24.2014,,NA,12.7,66.2,43,NA,NA,NA,NA,NA,NA,6.2955,5.96,NA,NA,55.11,32.2,NA,NA,,1.0000000000000009
s42426,51647,BY8DT,2008-01-15,115.1836,-34.1618,,NA,7.59,26.65,13.2,NA,NA,NA,NA,NA,NA,8.9736,4.885,NA,NA,67.62,24.79,NA,NA,,43.99999999999999
s42427,103219,BY8DT,2008-07-11,123.6992,-29.9465,,NA,1.41,6.12,322.1,NA,NA,NA,NA,NA,NA,0.2012,5.21,NA,NA,94.79,3.81,NA,NA,,5.000000000000004
s42428,38073,BY8DT,2007-09-05,147.4523,-33.1572,,NA,15.81,104.25,220,NA,NA,NA,NA,NA,NA,11.4674,5.14,NA,NA,40.24,43.95,NA,NA,,12.00000000000001
s42429,110026,BY8DT,2007-12-05,117.3828,-30.9285,,NA,2.3,732.5,295,NA,NA,NA,NA,NA,NA,1.5974,5.61,NA,NA,90.82,6.88,NA,NA,,0
s42430,87807,BY8DT,2008-06-11,152.4116,-31.8929,,NA,18.11,375,37,NA,NA,NA,NA,NA,NA,11.6347,5.16,NA,NA,28.96,52.93,NA,NA,,70
s42431,129592,BY8DT,2008-04-01,149.1487,-37.5593,,NA,16.33,164.8,98,NA,NA,NA,NA,NA,NA,13.5519,4.75,NA,NA,22.44,61.23,NA,NA,,39.000000000000014
s42432,26097,BY8DT,2008-04-03,143.1014,-22.3847,,NA,26.34,69.2,287,NA,NA,NA,NA,NA,NA,9.1453,7.4,NA,NA,26.49,47.16,NA,NA,,2.0000000000000018
s42433,154324,BY8DT,2008-05-14,136.7838,-22.9338,,NA,2.43,16.11,240,NA,NA,NA,NA,NA,NA,3.0526,6.74,NA,NA,90.48,7.09,NA,NA,,5.000000000000004
s42434,53189,BY8DT,2008-05-09,135.6912,-25.2016,,NA,2.41,19.86,157,NA,NA,NA,NA,NA,NA,2.4343,7.62,NA,NA,91.76,5.84,NA,NA,,1.0000000000000009
s42435,51097,BY8DT,2008-07-09,130.1846,-14.8267,,NA,4.94,52.1,13,NA,NA,NA,NA,NA,NA,3.2619,7.64,NA,NA,84.72,10.34,NA,NA,,18.999999999999993
s42437,99931,BY8DT,2007-12-15,122.1733,-33.5921,,NA,0.98,26.95,115,NA,NA,NA,NA,NA,NA,1.2214,6.175,NA,NA,96.25,2.77,NA,NA,,15.999999999999993
s42438,131176,BY8DT,2007-10-23,143.9195,-35.7758,,NA,28.53,1110.5,86,NA,NA,NA,NA,NA,NA,8.9426,4.91,NA,NA,17.36,54.11,NA,NA,,5.000000000000004
s42439,25707,BY8DT,2008-07-30,133.871,-20.2009,,NA,3.67,2.07,430,NA,NA,NA,NA,NA,NA,0.4414,6.01,NA,NA,87.35,8.98,NA,NA,,2.0000000000000018
s42440,112853,BY8DT,2008-03-02,115.5112,-25.1933,,NA,4.16,12.19,177.5,NA,NA,NA,NA,NA,NA,3.4231,6.675,NA,NA,77.51,18.33,NA,NA,,4.0000000000000036
s42441,56965,BY8DT,2008-05-13,116.8887,-26.289,,NA,6.7,13.845,348.4,NA,NA,NA,NA,NA,NA,2.2359,6.4,NA,NA,78.52,14.78,NA,NA,,0
s42442,94314,BY8DT,2009-04-03,130.3792,-23.8345,,NA,5.05,9.605,559,NA,NA,NA,NA,NA,NA,2.6669,5.845,NA,NA,82.47,12.48,NA,NA,,1.0000000000000009
s42443,86286,BY8DT,2008-06-04,120.2892,-22.8607,,NA,32.5,22.3,424.5,NA,NA,NA,NA,NA,NA,10.3161,6.04,NA,NA,9.13,58.37,NA,NA,,1.0000000000000009
s42444,49759,BY8DT,2008-07-12,134.0471,-14.7379,,NA,14.75,30.7,49,NA,NA,NA,NA,NA,NA,5.6983,6.16,NA,NA,54.01,31.24,NA,NA,,16.999999999999993
s42445,128251,BY8DT,2008-07-26,131.6406,-19.3201,,NA,5.03,16.93,320,NA,NA,NA,NA,NA,NA,2.4587,4.755,NA,NA,81.73,13.24,NA,NA,,1.0000000000000009
s42446,59089,BY8DT,2007-09-25,142.0572,-16.5329,,NA,13.05,43.7,20,NA,NA,NA,NA,NA,NA,8.8899,4.05,NA,NA,36.27,50.68,NA,NA,,15.000000000000014
s42447,107314,BY8DT,2008-02-07,147.1706,-41.4379,,NA,17.48,102.95,2.5,NA,NA,NA,NA,NA,NA,16.3082,5.385,NA,NA,30.91,51.61,NA,NA,,31.000000000000007
s42448,105109,BY8DT,2008-06-01,129.3197,-22.4412,,NA,4.34,782,320,NA,NA,NA,NA,NA,NA,5.1172,8.15,NA,NA,85.07,10.59,NA,NA,,10.000000000000009
s42449,1803,BY8DT,2009-09-08,137.4607,-27.6046,,NA,5.85,2246,1.7,NA,NA,NA,NA,NA,NA,21.274,7.68,NA,NA,73.78,20.37,NA,NA,,0
s42450,14840,BY8DT,2008-04-04,125.39,-28.3467,,NA,4.69,10.86,317.3,NA,NA,NA,NA,NA,NA,2.6707,4.645,NA,NA,79.09,16.21,NA,NA,,2.0000000000000018
s42451,114063,BY8DT,2008-08-11,142.2837,-11.1039,,NA,5.32,12.44,88,NA,NA,NA,NA,NA,NA,3.7934,4.89,NA,NA,81.13,13.55,NA,NA,,49
s42452,86534,BY8DT,2009-04-02,129.213,-25.6851,,NA,9.93,88.7,634,NA,NA,NA,NA,NA,NA,7.1261,8.64,NA,NA,61.95,28.12,NA,NA,,3.0000000000000027
s42453,130544,BY8DT,2007-10-01,145.2105,-37.7359,,NA,7.15,76.35,57,NA,NA,NA,NA,NA,NA,10.7672,4.195,NA,NA,72.62,20.23,NA,NA,,40.000000000000014
s42454,55358,BY8DT,2009-11-04,134.4646,-31.3133,,NA,6.19,72,121,NA,NA,NA,NA,NA,NA,1.7267,8.73,NA,NA,80.17,13.64,NA,NA,,2.0000000000000018
s42455,2857,BY8DT,2008-09-28,140.6993,-30.2301,,NA,3.82,51.8,44.5,NA,NA,NA,NA,NA,NA,2.1421,8.96,NA,NA,81.73,14.45,NA,NA,,0
s42456,51301,BY8DT,2008-07-15,136.0431,-16.5088,,NA,18.47,19.97,43,NA,NA,NA,NA,NA,NA,5.9914,6.775,NA,NA,42.63,38.9,NA,NA,,24
s42457,116761,BY8DT,2008-06-08,144.3107,-26.8399,,NA,17.37,55.35,212,NA,NA,NA,NA,NA,NA,6.6976,5.565,NA,NA,38.42,44.2,NA,NA,,15.999999999999993
s42458,94447,BY8DT,2008-07-16,136.1356,-30.0962,,NA,26.57,126.9,103.5,NA,NA,NA,NA,NA,NA,6.8329,7,NA,NA,34.88,38.55,NA,NA,,0
s42459,79017,BY8DT,2008-10-28,144.7867,-28.6882,,NA,16.52,49.95,142,NA,NA,NA,NA,NA,NA,13.5218,5.69,NA,NA,30.87,52.61,NA,NA,,13.00000000000001
s42460,48362,BY8DT,2008-04-01,123.3583,-28.0877,,NA,18.89,74.3,417.5,NA,NA,NA,NA,NA,NA,6.8964,7.95,NA,NA,47.48,33.63,NA,NA,,1.0000000000000009
s42461,46097,BY8DT,2008-05-24,139.4712,-24.361,,NA,20.77,88.8,117,NA,NA,NA,NA,NA,NA,6.4369,7.08,NA,NA,49.68,29.56,NA,NA,,4.0000000000000036
s42462,81363,BY8DT,2008-02-06,152.4871,-29.3879,,NA,9.66,37.7,106,NA,NA,NA,NA,NA,NA,8.3368,5.41,NA,NA,65.44,24.9,NA,NA,,34.00000000000001
s42463,10003,BY8DT,2008-02-29,123.0368,-25.5154,,NA,2.42,4.23,437.4,NA,NA,NA,NA,NA,NA,1.4575,5.21,NA,NA,93.69,3.89,NA,NA,,8.000000000000007
s42464,69330,BY8DT,2008-04-06,140.1124,-22.0887,,NA,5.34,8.73,197,NA,NA,NA,NA,NA,NA,2.3392,7.07,NA,NA,80.43,14.23,NA,NA,,10.000000000000009
s42465,84368,BY8DT,2008-05-13,139.9986,-37.2191,,NA,9.57,196.75,6.7,NA,NA,NA,NA,NA,NA,9.7895,5.36,NA,NA,56.13,34.29,NA,NA,,1.0000000000000009
s42466,35471,BY8DT,2007-09-25,142.0574,-16.5329,,NA,16.41,38.6,21,NA,NA,NA,NA,NA,NA,10.5127,4.51,NA,NA,38.59,45,NA,NA,,15.000000000000014
s42467,64716,BY8DT,2009-09-06,133.2927,-29.0543,,NA,4.07,144.25,164,NA,NA,NA,NA,NA,NA,2.5725,7.585,NA,NA,81.11,14.83,NA,NA,,2.0000000000000018
