sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s12564,391856,AAVYC,2014-11-05,149.0097,-35.8766833,,14,44.31,0.17,1092,0.047,11.39,11.14,0.61,0.59,6,5.83,5.2,30,238,24.6,31.09,22.5,2.5,Grassland,16.999999999999993
s12566,450630,AAVYC,2014-11-04,149.01025,-35.8769333,,5,13.21,0.032,1105,0.409,3.51,1.19,0.46,0.02,1e-10,2.58,4.7,34,211,58.24,28.56,3.2,2.5,Woodland,16.999999999999993
s12568,306107,AAVYC,2014-11-05,149.01088,-35.8748666,,10,37.48,0.074,1088,0.073,10.52,7.47,0.63,0.12,10,5.27,5,37,266,33.77,28.75,6.1,2.5,Grassland,16.999999999999993
s12570,318230,AAVYC,2014-11-05,149.01165,-35.8748166,,8,16.49,0.047,1099,0.474,4.4,1.43,0.52,0.03,1e-10,2.88,4.6,21,228,58.61,24.9,4.5,2,Woodland,16.999999999999993
s12572,146991,AC9CM,2014-02-17,149.0076,-35.881,,5,26.23,0.063,1093,0.054,11.31,3.84,0.56,0.03,4,4.49,5,27,256,45.22,28.54,5.5,2.5,Grassland,34.00000000000001
s12574,121461,AC9CM,2014-02-17,149.0083,-35.881100000000004,,6,11.06,0.048,1111,0.036,9.67,2.3,0.52,0.02,2,3.64,5.2,27,231,63.39,25.56,4,2,Woodland,34.00000000000001
s12576,92576,AC9CM,2014-02-17,149.0097,-35.8766833,,11,44.31,0.144,1092,0.093,11.98,11.66,0.65,0.54,4,4.5,5,37,259,24.6,31.09,23,2.5,Grassland,16.999999999999993
s12578,144765,AC9CM,2014-02-17,149.01025,-35.8769333,,6,13.21,0.038,1105,0.299,4.4,1.36,0.5,0.02,1e-10,2.31,4.7,24,212,58.24,28.56,3.1,2.5,Woodland,16.999999999999993
s12580,172363,AC9CM,2014-02-18,149.01088,-35.8748666,,10,37.48,0.085,1088,0.11,10.91,7.37,0.52,0.13,9,4.5,4.8,34,201,33.77,28.75,7.6,2.5,Grassland,16.999999999999993
s12582,89743,AC9CM,2014-02-18,149.01165,-35.8748166,,8,16.49,0.035,1099,0.369,4.55,1.36,0.5,0.02,1,2.83,4.6,18,222,58.61,24.9,3.8,2.5,Woodland,16.999999999999993
s12584,223800,ANVM7,2014-02-04,142.27515,-34.42796,,1,6.83,0.095,52,0.055,3.53,1.06,0.42,0.19,8,0.46,6.4,108,165,93.17,1e-10,19.3,1,Other,19.999999999999996
s12586,212072,ANVM7,2014-02-04,142.27515,-34.42796,,3,5.9,0.086,52,0.085,4.21,0.89,0.42,0.02,7,0.7,6.8,57,164,93.11,0.99,5.1,1,Other,19.999999999999996
s12588,131103,ANVM7,2014-02-07,139.02281,-35.28922,,3,5.01,0.282,24,0.036,6.94,1.56,0.61,0.43,47,1.64,5.7,131,278,85.89,9.1,45,1.5,Other,25
s12590,293685,ANVM7,2014-02-07,139.02281,-35.28922,,52,10.24,0.207,24,0.068,9.46,2.05,0.8,0.15,55,2.48,5.6,133,325,84.62,5.14,35.7,1.5,Other,25
s12592,439347,ANVM7,2014-03-06,139.84894,-34.09934,,1e-10,4.87,0.06,35,0.083,2.47,0.88,0.27,0.15,8,0.56,6.2,37,145,95.13,1e-10,9.9,1.5,Other,37.000000000000014
s12594,222792,ANVM7,2014-03-06,139.84894,-34.09934,,2,4.95,0.051,35,0.046,3.02,0.84,0.31,0.01,7,0.47,6.7,44,147,94.05,1,5.1,1.5,Other,37.000000000000014
s12614,601866,AAVYC,2014-01-23,150.265414,-33.659823,,4,9.44,0.158,1014,0.038,11.06,1.62,0.79,0.15,50,3.11,6.1,165,310,82.12,8.44,16.7,1.5,Other,69
s12616,506535,AAVYC,2014-01-23,150.265414,-33.659823,,1e-10,9.65,0.114,1014,0.037,9.5,1.18,0.36,0.04,49,3.56,5.4,92,152,84.96,5.39,7.5,1.5,Other,69
s12618,565981,AAVYC,2014-01-28,150.268179,-33.652818,,2,10.64,0.185,1020,0.027,13.49,2.27,0.33,0.21,43,3.88,6.3,193,543,82.91,6.45,16.9,1.5,Other,51
s12620,322385,AAVYC,2014-01-28,150.268179,-33.652818,,5,9.75,0.076,1020,0.026,11.11,0.82,0.45,0.07,15,3.38,5.9,102,177,85.89,4.36,9.1,1.5,Other,51
s12622,367700,AAVYC,2014-01-28,150.267825,-33.652974,,2,12.52,0.051,1020,0.092,9.46,1.21,0.45,0.04,14,1.8,5.1,173,176,81.17,6.31,4.1,1.5,Other,51
s12624,428181,AAVYC,2014-01-28,150.267756,-33.652613,,5,14.93,0.059,1020,0.052,9.71,1.47,0.7,0.04,4,3.78,5.4,113,275,76.48,8.59,4.6,1.5,Other,51
s12816,74175,A5P6W,2013-10-30,145.4478833,-16.10341667,,17,24.16,0.099,100,1.552,1.69,1.27,0.41,0.2,4,4.93,4.2,7,161,56.88,18.95,14.2,1.5,Forest,86.00000000000001
s12818,61511,A5P6W,2013-10-30,145.4472167,-16.10298333,,16,19.42,0.104,56,0.368,5.16,1.79,0.5,0.16,28,4.62,4.6,9,196,41.63,38.94,11.3,2,Forest,86.00000000000001
s12819,75828,A5P6W,2013-10-30,145.4478833,-16.10341667,,16,NA,0.108,56,0.134,10.34,2.72,0.81,0.26,16,5.36,4.9,8,332,NA,NA,12.9,2,Forest,86.00000000000001
